timestamp,inc,id,session,temp_C,humid_%,iaq,iaq_acc
2018-06-30 19:05:36,1,4,0,21.32,62.6,25.0,1
2018-06-30 19:05:37,2,1,0,20.9,65.72,25.0,1
2018-06-30 19:05:37,3,2,0,20.78,65.58,25.0,1
2018-06-30 19:05:37,4,3,0,21.27,64.1,25.0,1
2018-06-30 19:05:39,5,6,0,20.97,64.51,25.0,1
2018-06-30 19:06:06,6,4,1,21.36,62.4,25.0,1
2018-06-30 19:06:10,7,1,1,20.95,65.58,25.32,1
2018-06-30 19:06:10,8,2,1,20.85,65.18,24.5,1
2018-06-30 19:06:10,9,3,1,21.31,63.82,23.48,1
2018-06-30 19:06:12,10,6,1,20.98,64.2,22.8,1
2018-06-30 19:07:06,11,4,3,21.45,62.07,28.34,1
2018-06-30 19:07:12,12,6,3,21.02,64.19,25.27,1
2018-06-30 19:07:13,13,2,3,20.93,65.0,25.11,1
2018-06-30 19:07:13,14,1,3,20.97,65.36,26.93,1
2018-06-30 19:07:13,15,3,3,21.39,63.53,20.46,1
2018-06-30 19:07:36,16,4,4,21.5,61.89,26.33,1
2018-06-30 19:07:42,17,6,4,21.03,64.13,25.64,1
2018-06-30 19:07:43,18,1,4,21.02,65.28,25.0,1
2018-06-30 19:07:43,19,2,4,20.94,65.02,25.57,1
2018-06-30 19:07:43,20,3,4,21.43,63.49,22.57,1
2018-06-30 19:08:06,21,4,5,21.53,61.95,26.77,1
2018-06-30 19:08:12,22,6,5,21.06,64.03,25.95,1
2018-06-30 19:08:13,23,1,5,21.03,65.31,25.0,1
2018-06-30 19:08:13,24,3,5,21.45,63.51,25.27,1
2018-06-30 19:08:16,25,2,5,20.9,65.04,25.0,1
2018-06-30 19:08:36,26,4,6,21.56,61.84,26.81,1
2018-06-30 19:08:42,27,6,6,21.06,64.19,25.0,1
2018-06-30 19:08:43,28,1,6,21.05,65.23,26.15,1
2018-06-30 19:08:43,29,3,6,21.49,63.3,23.83,1
2018-06-30 19:08:46,30,2,6,20.95,64.93,29.69,1
2018-06-30 19:09:06,31,4,7,21.58,61.6,25.0,1
2018-06-30 19:09:12,32,6,7,21.11,63.98,26.7,1
2018-06-30 19:09:13,33,3,7,21.53,63.11,25.0,1
2018-06-30 19:09:16,34,1,7,21.08,65.12,25.0,1
2018-06-30 19:09:19,35,2,7,20.96,64.92,25.0,1
2018-06-30 19:09:36,36,4,8,21.62,61.68,29.41,1
2018-06-30 19:09:43,37,3,8,21.55,63.18,28.7,1
2018-06-30 19:09:45,38,6,8,21.18,63.63,24.03,1
2018-06-30 19:09:46,39,1,8,21.05,65.16,25.0,1
2018-06-30 19:09:49,40,2,8,20.98,64.81,25.0,1
2018-06-30 19:10:06,41,4,9,21.65,61.6,27.1,1
2018-06-30 19:10:16,42,1,9,21.12,65.08,25.3,1
2018-06-30 19:10:16,43,3,9,21.58,63.02,24.9,1
2018-06-30 19:10:18,44,6,9,21.23,63.46,28.54,1
2018-06-30 19:10:19,45,2,9,21.1,64.67,33.37,1
2018-06-30 19:10:36,46,4,10,21.69,61.5,26.51,1
2018-06-30 19:10:46,47,1,10,21.11,65.02,25.22,1
2018-06-30 19:10:46,48,3,10,21.61,63.0,27.32,1
2018-06-30 19:10:48,49,6,10,21.26,63.59,30.28,1
2018-06-30 19:10:49,50,2,10,21.04,64.66,24.37,1
2018-06-30 19:11:06,51,4,11,26.01,62.42,27.83,1
2018-06-30 19:11:16,52,1,11,21.08,65.04,25.0,1
2018-06-30 19:11:16,53,3,11,21.62,62.97,25.24,1
2018-06-30 19:11:18,54,6,11,21.29,63.5,26.23,1
2018-06-30 19:11:19,55,2,11,21.0,64.63,25.0,1
2018-06-30 19:11:36,56,4,12,21.73,61.32,28.28,1
2018-06-30 19:11:46,57,1,12,21.16,65.0,26.31,1
2018-06-30 19:11:46,58,3,12,21.65,62.83,24.63,1
